strategy,period,start,end,trading_days,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,benchmark_cagr,benchmark_max_drawdown,annual_one_way_turnover
baseline_v1_2_public,development_2013_2017,2013-01-04,2017-12-29,1215,0.9761158878920353,0.14647458257875967,0.2399669126066351,0.7102337511968455,-0.5035390040464394,0.2908902416728197,0.10043431787523005,-0.46306068601583117,2.1960521181970036
baseline_v1_2_public,validation_2018_2021,2018-01-02,2021-12-31,973,0.7366078277767834,0.14817041529693942,0.2423353109308662,0.7124921894735894,-0.3142184658209317,0.4715522205540252,0.04905677602534375,-0.3129127761329994,2.37075323949331
baseline_v1_2_public,oos_2022_2025,2022-01-04,2025-12-31,969,0.07724714825674384,0.01882795149081118,0.15494210217879906,0.2028553613699747,-0.21790040680264022,0.08640622460087599,-0.012124029340712217,-0.361122244488978,2.4019371377685266
baseline_v1_2_public,full_2013_2025,2013-01-04,2025-12-31,3157,2.6969965256764508,0.10590782248095376,0.21823703470138056,0.5882850777012235,-0.5035390040464394,0.21032694911392866,0.049744517396759225,-0.46306068601583117,2.312180970404848
momentum_focus_15,development_2013_2017,2013-01-04,2017-12-29,1215,1.2051681613922014,0.1719870359090645,0.23782949146059046,0.8103571827114535,-0.5057661943654876,0.3400524547213599,0.10043431787523005,-0.46306068601583117,2.0313710668586706
momentum_focus_15,validation_2018_2021,2018-01-02,2021-12-31,973,0.8205178987352273,0.16181390425858222,0.24740355130522007,0.7524145191775042,-0.3023532401926772,0.5351816443424418,0.04905677602534375,-0.3129127761329994,2.4504002896391763
momentum_focus_15,oos_2022_2025,2022-01-04,2025-12-31,969,0.2242148776316677,0.052020642193847166,0.17217711847996847,0.3923732357498195,-0.2791433590458854,0.1863581579431236,-0.012124029340712217,-0.361122244488978,2.1431504849602954
momentum_focus_15,full_2013_2025,2013-01-04,2025-12-31,3157,3.931181333049925,0.13070829649408977,0.2229682997853963,0.6837556948182887,-0.5057661943654876,0.25843620619616686,0.049744517396759225,-0.46306068601583117,2.1937721356503697
balanced_momentum_20,development_2013_2017,2013-01-04,2017-12-29,1215,1.1782627177419394,0.16910327456726537,0.22810278946635745,0.823580260312362,-0.4750195717340199,0.3559922256465513,0.10043431787523005,-0.46306068601583117,1.9169048640315718
balanced_momentum_20,validation_2018_2021,2018-01-02,2021-12-31,973,0.7022435695065117,0.1424400228426801,0.2368898841801356,0.7014581402794766,-0.3134080229141888,0.4544874809464601,0.04905677602534375,-0.3129127761329994,2.2391831178370403
balanced_momentum_20,oos_2022_2025,2022-01-04,2025-12-31,969,0.14098288887526245,0.03361499480536767,0.14783397191113884,0.3065933301475115,-0.26225422658070974,0.12817713271447514,-0.012124029340712217,-0.361122244488978,2.050169793058732
balanced_momentum_20,full_2013_2025,2013-01-04,2025-12-31,3157,3.256107385132913,0.11796430026946525,0.20980557672405817,0.6569050201872807,-0.4750195717340199,0.24833566296825682,0.049744517396759225,-0.46306068601583117,2.0562053142543597
low_volatility_30,development_2013_2017,2013-01-04,2017-12-29,1215,1.449368331109778,0.19695114333999109,0.17761257517119203,1.1368302673526685,-0.3966550344302162,0.49653004813844315,0.10043431787523005,-0.46306068601583117,2.1799871955606482
