signal_date,execution_date,regime,buy_turnover,sell_turnover,one_way_turnover,cost_rate,holding_count,target_exposure
2013-01-31,2013-02-01,RISK_ON,0.9499999999999998,0.0,0.4749999999999999,0.0007314999999999999,30,0.9499999999999998
2013-02-28,2013-03-01,RISK_ON,0.10831535009119805,0.10938927645944577,0.10885231327532191,0.0002770218389034415,30,0.95
2013-03-29,2013-04-01,RISK_ON,0.10552997595392231,0.10661629230429905,0.1060731341291107,0.0002699689188631295,30,0.95
2013-04-26,2013-05-02,RISK_ON,0.08995022789454427,0.08938767448804918,0.08966895119129673,0.00022747785932264618,30,0.9499999999999998
2013-05-31,2013-06-03,RISK_ON,0.13389059969726222,0.13653585150680522,0.13521322560203372,0.00034476421893393723,30,0.9500000000000001
2013-06-28,2013-07-01,RISK_OFF,0.10539338150918397,0.8505638963402523,0.47797863892471815,0.0015866510002843185,30,0.2
2013-07-31,2013-08-01,RISK_OFF,0.046017865665540156,0.05067042266909918,0.04834414416731967,0.00012512040468677147,30,0.19999999999999998
2013-08-30,2013-09-02,RISK_OFF,0.0501646233813,0.05468297160966529,0.05242379749548264,0.00013541561975270855,30,0.19999999999999998
2013-09-30,2013-10-08,RISK_OFF,0.05634717195323738,0.0667566092776175,0.06155189061542744,0.0001615465208253758,30,0.20000000000000004
2013-10-31,2013-11-01,RISK_OFF,0.07155233436440685,0.0665527278454851,0.06905253110494597,0.00017289362574710192,30,0.19999999999999998
2013-11-29,2013-12-02,RISK_OFF,0.06130336017718438,0.06362925287422093,0.062466306525702654,0.00015982736492380304,30,0.20000000000000004
2013-12-31,2014-01-02,RISK_OFF,0.07551382023921063,0.06897266231569889,0.07224324127745475,0.00018022725388297924,31,0.20538092206445235
2014-01-30,2014-02-07,RISK_OFF,0.09830227976994646,0.09395408520726048,0.09612818248860347,0.00024199148623970984,30,0.2
2014-02-28,2014-03-03,RISK_OFF,0.06513373838911468,0.06629132990707885,0.06571253414809676,0.00016748863249514787,30,0.2
2014-03-31,2014-04-01,RISK_OFF,0.08909825681219678,0.07622588378060387,0.08266207029640033,0.0002035254720370604,31,0.2068648586100039
2014-04-30,2014-05-05,RISK_OFF,0.08240170058916524,0.08042059538875154,0.08141114798895838,0.00020579376329174747,31,0.20687514770650367
2014-05-30,2014-06-03,RISK_OFF,0.060040604828130555,0.06439878610843505,0.0622196954682828,0.00016021711712959057,31,0.20382766162446891
2014-06-30,2014-07-01,RISK_OFF,0.03707426385983549,0.04059080769713517,0.03883253577848533,0.00010039291279600259,31,0.2038071200563906
2014-07-31,2014-08-01,RISK_ON,0.7896816744241594,0.04628109095143158,0.4179813826877955,0.0006899724202906367,32,0.9566229111537803
2014-08-29,2014-09-01,RISK_ON,0.22678819056863705,0.20059549710247576,0.2136918438355564,0.0005296809366092327,33,0.9837751117026481
2014-09-30,2014-10-08,RISK_ON,0.2682483764110472,0.25837306193559356,0.2633107191733204,0.0006638715694625071,33,0.9952706510926269
2014-10-31,2014-11-03,RISK_ON,0.25441576523471116,0.240459890110249,0.24743782767248007,0.0006215141447258683,34,1.0100659417414848
2014-11-28,2014-12-01,RISK_ON,0.40319074090574236,0.45319074090574263,0.4281907409057425,0.0011126044819005862,30,0.9499999999999997
