date,nav,cash,holdings_value,holding_count,benchmark_nav,drawdown,benchmark_drawdown
2013-01-04,1.0,1.0000590835409737,0.0,0,1.0,0.0,0.0
2013-01-07,1.0000590835409737,1.0001181705728122,0.0,0,1.0015810276679842,0.0,0.0
2013-01-08,1.0001181705728122,1.0001772610957218,0.0,0,0.9972332015810278,0.0,-0.004340962904498702
2013-01-09,1.0001772610957218,1.0002363551099087,0.0,0,0.9964426877470356,0.0,-0.00513022888713488
2013-01-10,1.0002363551099087,1.0002954526155792,0.0,0,0.998814229249012,0.0,-0.0027624309392263457
2013-01-11,1.0002954526155792,1.0003545536129397,0.0,0,0.983794466403162,0.0,-0.017758484609313396
2013-01-14,1.0003545536129397,1.0004136581021963,0.0,0,1.0185770750988143,0.0,0.0
2013-01-15,1.0004136581021963,1.0004727660835555,0.0,0,1.024505928853755,0.0,0.0
2013-01-16,1.0004727660835555,1.0005318775572236,0.0,0,1.0169960474308302,0.0,-0.007330246913580196
2013-01-17,1.0005318775572236,1.0005909925234069,0.0,0,1.0106719367588934,0.0,-0.013503086419752952
2013-01-18,1.0005909925234069,1.0006501109823116,0.0,0,1.0256916996047432,0.0,0.0
2013-01-21,1.0006501109823116,1.0007092329341443,0.0,0,1.0292490118577076,0.0,0.0
2013-01-22,1.0007092329341443,1.0007683583791112,0.0,0,1.0276679841897234,0.0,-0.001536098310291889
2013-01-23,1.0007683583791112,1.0008274873174186,0.0,0,1.0296442687747036,0.0,0.0
2013-01-24,1.0008274873174186,1.0008866197492732,0.0,0,1.0229249011857708,0.0,-0.00652591170825334
2013-01-25,1.0008866197492732,1.000945755674881,0.0,0,1.0181818181818183,0.0,-0.011132437619961522
2013-01-28,1.000945755674881,1.001004895094449,0.0,0,1.0458498023715415,0.0,0.0
2013-01-29,1.001004895094449,1.0010640380081832,0.0,0,1.0537549407114626,0.0,0.0
2013-01-30,1.0010640380081832,1.0011231844162902,0.0,0,1.0596837944664033,0.0,0.0
