signal_date,execution_date,regime,buy_turnover,sell_turnover,one_way_turnover,cost_rate,holding_count,target_exposure
2013-01-31,2013-02-01,RISK_ON,0.9799999999999999,0.0,0.48999999999999994,0.0007546,15,0.9799999999999999
2013-02-28,2013-03-01,RISK_ON,0.24227006498363923,0.24363886993767192,0.24295446746065558,0.0006177887498270815,15,0.98
2013-03-29,2013-04-01,RISK_ON,0.23577913529112549,0.23610278448242275,0.23594095988677413,0.0005994518627080549,15,0.9799999999999998
2013-04-26,2013-05-02,RISK_ON,0.3599708464966942,0.36043739482594667,0.3602041206613204,0.00091515174064438,15,0.9800000000000002
2013-05-31,2013-06-03,RISK_ON,0.17346170205577832,0.25135681158995143,0.21240925682286488,0.0005784670670971634,14,0.9045998815263947
2013-06-28,2013-07-01,RISK_OFF,0.015091070465168556,0.7634825590016268,0.38928681473339766,0.0013629842536910593,15,0.15
2013-07-31,2013-08-01,RISK_OFF,0.034673463999993014,0.040151165280121484,0.037412314640057245,9.776612982580966e-05,15,0.15000000000000002
2013-08-30,2013-09-02,RISK_OFF,0.026481654565650926,0.03450115515244716,0.030491404859049043,8.14579186353827e-05,15,0.15
2013-09-30,2013-10-08,RISK_OFF,0.024802142670379446,0.03575476419202177,0.030278453431200607,8.23835824760707e-05,15,0.15000000000000002
2013-10-31,2013-11-01,RISK_OFF,0.05061374103524164,0.0399840196814399,0.04529888035834077,0.00010974429543328469,15,0.14999999999999997
2013-11-29,2013-12-02,RISK_OFF,0.07400409156373591,0.0747199558243948,0.07436202369406535,0.00018923747231325546,15,0.14999999999999997
2013-12-31,2014-01-02,RISK_OFF,0.0804642398096112,0.0734811153828029,0.07697267759620706,0.00019201903888096177,15,0.14999999999999997
2014-01-30,2014-02-07,RISK_OFF,0.05812814787002251,0.057754042485324716,0.05794109517767362,0.00014698332905894212,15,0.15000000000000002
2014-02-28,2014-03-03,RISK_OFF,0.026183732932394066,0.031976652084893385,0.02908019250864373,7.676014854820473e-05,14,0.14283565285930017
2014-03-31,2014-04-01,RISK_OFF,0.0960295715843583,0.08040282259460425,0.0882161970894813,0.00021625576611240547,15,0.15
2014-04-30,2014-05-05,RISK_OFF,0.04099832745271171,0.0361180942212751,0.03855821083699341,9.549773891024496e-05,15,0.15
2014-05-30,2014-06-03,RISK_OFF,0.03613897186316478,0.030178780249395475,0.03315887605628012,8.124344937606688e-05,16,0.15900330135655724
2014-06-30,2014-07-01,RISK_OFF,0.03660303384321894,0.02726736527670255,0.03193519955996075,7.644757259904211e-05,17,0.1695578569951572
2014-07-31,2014-08-01,RISK_ON,0.8718188470210854,0.03399453082119436,0.4529066889211399,0.0007314708317597498,18,1.0075896114902512
2014-08-29,2014-09-01,RISK_ON,0.4910015614693922,0.4949631351353994,0.4929823483023958,0.001254155951521089,17,0.996038426333993
2014-09-30,2014-10-08,RISK_ON,0.34220053382210386,0.2775383182034877,0.30986942601279577,0.0007547372342631932,18,1.0620630853396011
2014-10-31,2014-11-03,RISK_ON,0.5617127643356709,0.44787070567729265,0.5047917350064818,0.0012252499775872747,19,1.1138420586583784
2014-11-28,2014-12-01,RISK_ON,0.424520588502902,0.34538256006422424,0.38495157428356314,0.0009382079844609116,17,1.0791380284386778
2014-12-31,2015-01-05,RISK_ON,0.5988629515566295,0.5759921497604761,0.5874275506585528,0.0014806305777746475,16,1.0228708017961534
2015-01-30,2015-02-02,RISK_ON,0.41641859529832864,0.3233577143484387,0.36988815482338366,0.0008929854727764496,17,1.0930608809498898
2015-02-27,2015-03-02,RISK_ON,0.20348134688964445,0.1866395430793685,0.19506044498450648,0.0004870326283555085,16,1.016841803810276
2015-03-31,2015-04-01,RISK_ON,0.15961190340328296,0.10237718744257177,0.13099454542292735,0.0003041087873938799,17,1.0572347159607114
2015-04-30,2015-05-04,RISK_ON,0.20510214761694107,0.2255303911337824,0.21531626937536172,0.0005571174459718395,16,0.9795717564831589
2015-05-29,2015-06-01,RISK_ON,0.35228074942015136,0.3508978196152082,0.3515892845176798,0.0008923453177724352,15,0.9799999999999998
2015-06-30,2015-07-01,RISK_ON,0.5565202532811035,0.4549782213652633,0.5057492373231834,0.001233832046842966,16,1.0809160012036367
2015-07-31,2015-08-03,RISK_ON,0.32416309800355403,0.34416309800355416,0.33416309800355415,0.0008587742689290275,15,0.9799999999999999
2015-08-31,2015-09-01,RISK_OFF,0.11338107868557824,0.8373007236683877,0.47534090117698297,0.0015693257114809415,16,0.25138790367287045
2015-09-30,2015-10-08,RISK_OFF,0.11250823205029697,0.10372099503087648,0.10811461354058671,0.00027021749988338003,17,0.25829696701508353
2015-10-30,2015-11-02,RISK_OFF,0.02555379307000749,0.03226311665389891,0.0289084548619532,7.678213714130684e-05,17,0.25891041037395224
2015-11-30,2015-12-01,RISK_OFF,0.04622891754645525,0.04720584908318016,0.0467173833148177,0.00011915061938799942,17,0.2586774312752799
2015-12-31,2016-01-04,RISK_OFF,0.06300464468322073,0.13110468757953264,0.09705466613137669,0.0002805688734218528,18,0.18252713025953735
