date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2018-02-12,1000606.0762455282,708348.8814187099,0,292257.19482681825,0.29208017197279573,15,0,996395.4151323793,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1001139.616765099
2018-02-13,1004310.4362836869,708348.8814187099,0,295961.554864977,0.29469130676381516,15,0,1010748.2069718561,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1005351.7431032739
2018-02-14,1006156.9682152281,708348.8814187099,0,297808.08679651824,0.2959857121744982,15,0,1019742.1965737782,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1007988.042688943
2018-02-15,1010563.460363509,708348.8814187099,0,302214.57894479914,0.29905551783565354,15,0,1028376.6379830941,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1010514.2557943556
2018-02-16,1012268.0695333842,708348.8814187099,0,303919.18811467435,0.30023587354164905,15,0,1034772.4684585338,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1012393.7414115472
2018-02-19,1014317.2839470317,708348.8814187099,0,305968.40252832184,0.3016495995589282,15,0,1035985.2461836641,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1012749.986085993
2018-02-20,1013137.913589767,708348.8814187099,0,304789.032171057,0.3008366660478863,15,0,1038183.2421774501,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1013398.1402642505
2018-02-21,1014906.2670387663,708348.8814187099,0,306557.38562005636,0.3020548749930488,15,0,1036017.7156513587,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1012762.2233692157
2018-02-22,1015419.6889400175,708348.8814187099,0,307070.80752130767,0.30240777371754,15,0,1034307.2096210696,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1012257.1543024497
2018-02-23,1015588.1449521335,708348.8814187099,0,307239.2635334237,0.302523483619341,15,0,1034999.1157970268,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1012461.931436748
2018-02-26,1017925.1615782338,708348.8814187099,0,309576.280159524,0.3041247940855927,15,0,1049366.9084778985,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1016713.8787008823
2018-02-27,1017868.1746499798,708348.8814187099,0,309519.2932312699,0.3040858344330356,15,0,1054817.9883306713,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1018320.1014004555
2018-02-28,1016935.718183731,708348.8814187099,0,308586.83676502114,0.3034477315008306,15,0,1054452.93562184,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1018212.935022109
2018-03-01,1015535.4953811362,719721.4648974006,0,295814.03048373567,0.2912887159820199,20,0,1049157.6032496388,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1016661.303730293
2018-03-02,1014684.1763908018,719721.4648974006,0,294962.71149340126,0.2906941079366921,20,0,1043366.5716232845,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1015026.6899370459
2018-03-05,1018412.6866855004,719721.4648974006,0,298691.22178809985,0.29329094746473805,20,0,1058716.0689601817,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1019367.5014754471
2018-03-06,1020252.8657194985,719721.4648974006,0,300531.4008220979,0.29456560321460934,20,0,1063746.4929236714,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1020788.0449397569
2018-03-07,1020472.4014366507,719721.4648974006,0,300750.93653925013,0.29471736434600704,20,0,1064585.0076304337,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1021025.067754016
2018-03-08,1019912.3841732647,719721.4648974006,0,300190.9192758641,0.2943301051483919,20,0,1061464.3557312514,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1020142.9895099421
2018-03-09,1018801.2377509775,719721.4648974006,0,299079.772853577,0.2935604726136779,20,0,1051111.2540764692,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1017214.3845184456
2018-03-12,1017825.0670577425,719721.4648974006,0,298103.602160342,0.2928829440427116,20,0,1050668.0371533365,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1017088.4694460214
2018-03-13,1018694.0581774358,719721.4648974006,0,298972.59328003513,0.2934861461889083,20,0,1059152.5529631826,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1019494.0192611701
2018-03-14,1016655.3950578449,719721.4648974006,0,296933.9301604444,0.29206939893684397,20,0,1055607.335564638,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1018492.5061423291
2018-03-15,1015180.5373344384,719721.4648974006,0,295459.07243703783,0.29104091496161394,20,0,1053640.269486545,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1017938.18627504
2018-03-16,1015471.0068996989,719721.4648974006,0,295749.54200229835,0.29124370857740345,20,0,1051735.6320510758,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1017402.6419656761
2018-03-19,1015424.7286291914,719721.4648974006,0,295703.26373179076,0.2912114068080515,20,0,1052963.0388352922,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1017748.4470268396
2018-03-20,1012822.6460238168,719721.4648974006,0,293101.1811264162,0.2893904300788352,20,0,1038161.1610362876,301.8648107068657,498483.8667802987,0.0,0.0,0.0,1013582.1280352777
