signal_date,date,symbol,name,open,close,amount,return_1d,mom_12_1,mom_6_1,ma_200,trend,volatility,avg_amount_20,history_days,low_volatility,liquidity,z_mom_12_1,z_mom_6_1,z_trend,z_low_volatility,z_liquidity,score,rank,was_held,selection_reason,target_weight,regime,target_exposure
2013-01-31,2013-01-31,SH601633,长城汽车,28.23856124432892,28.35069993519088,195849056,0.0036088054853844476,0.8285614788183744,0.4356130622304377,18.310655022682905,0.5483170809602689,0.38081584709823957,149900063.2,261,-0.38081584709823957,18.825479391358257,2.2756143236415567,1.9951417453130746,1.984635219435044,-0.4803061419964085,-0.6735261382571279,2.0100296612301367,1,False,NEW_ENTRY,0.06397717796077204,RISK_ON,0.95
2013-01-31,2013-01-31,SZ002236,大华股份,408.7874746595074,399.8598379658816,78926848,-0.017706237424547466,1.1829076924697879,0.33083573487031703,304.5520776251293,0.3129440491227442,0.36705649037375426,168260668.0,260,-0.36705649037375426,18.941024936068576,2.2756143236415567,1.9849318373505793,1.7605187340472,-0.3146120518376048,-0.5052191387909993,1.981633920541152,2,False,NEW_ENTRY,0.06637540503718689,RISK_ON,0.95
2013-01-31,2013-01-31,SH600340,华夏幸福,140.80400911098565,133.60175800556436,240056576,-0.05803409503083068,1.2817124164158278,0.6056503825779873,101.26217579556804,0.31936487593634877,0.40772771994940377,154536692.4,255,-0.40772771994940377,18.85594212383858,2.2756143236415567,1.9951417453130746,1.8249377715565585,-0.804386575103274,-0.62915323653983,1.9698710223930205,3,False,NEW_ENTRY,0.05975439497493468,RISK_ON,0.95
2013-01-31,2013-01-31,SH600109,国金证券,76.26368700541616,76.63875431855756,317985504,0.010439560439560625,0.7901522200305362,0.40162601626016237,59.048307943501165,0.29789924534141354,0.5844554665464957,519319332.8,255,-0.5844554665464957,20.06802953862411,2.2756143236415567,1.9951417453130746,1.609576837116266,-1.719946373166923,1.1364085286035994,1.8917888923237944,4,False,NEW_ENTRY,0.041685850530320964,RISK_ON,0.95
2013-01-31,2013-01-31,SZ002422,科伦药业,132.96427565738858,129.1503056924096,95618464,-0.013867488443759846,0.6180919744896605,0.37131206524346383,99.71327592251923,0.29521675521686785,0.3882978437107592,127746362.8,261,-0.3882978437107592,18.66555732323791,1.8113296930807326,1.9951417453130746,1.5826638807372755,-0.5704064748903553,-0.9064732717985734,1.713086628500362,5,False,NEW_ENTRY,0.06274442059027883,RISK_ON,0.95
2013-01-31,2013-01-31,SH600062,华润双鹤,123.78906620541004,122.50062916724325,81089032,-0.013960909453530124,0.8556101468624802,0.23827699018538695,101.31135445174533,0.20915004868077625,0.38126609328633104,106944762.4,261,-0.38126609328633104,18.487823029227105,2.2756143236415567,1.2499046951780992,0.7191715988853508,-0.485728134752111,-1.1653662113938268,1.596367903469405,6,False,NEW_ENTRY,0.06390162579127961,RISK_ON,0.95
2013-01-31,2013-01-31,SZ000750,国海证券,89.58763332703424,89.84787336574749,719114048,0.010241404535479282,1.618696932940542,0.14056603773584908,68.05015145812386,0.3203184921790707,0.6562470593890969,876198190.4,258,-0.6562470593890969,20.591102869201336,2.2756143236415567,0.4739628608067404,1.8345052372884292,-1.719946373166923,1.8983323482620937,1.4691744869977188,7,False,NEW_ENTRY,0.037125535073279155,RISK_ON,0.95
2013-01-31,2013-01-31,SZ002146,荣盛发展,66.17770355021912,63.02638433354202,280244000,-0.055016181229773364,0.5087985936189896,0.3088531187122736,46.94201090972355,0.34264346823043224,0.5219740202218135,252341245.6,261,-0.5219740202218135,19.346292882611767,1.3962904559570388,1.8103635716818687,1.984635219435044,-1.719946373166923,0.08510593374632794,1.4529522637399905,8,False,NEW_ENTRY,0.04667573916750285,RISK_ON,0.95
2013-01-31,2013-01-31,SH600170,上海建工,32.58058330963526,32.956995697037975,137852656,0.014157014157014203,0.7454673519893003,0.23380726698262233,30.729716944070052,0.07247963777283428,0.2797690581941444,157501725.6,259,-0.2797690581941444,18.874946978709556,2.2756143236415567,1.2144097467190045,-0.6520188384651306,0.7365280520860948,-0.6014702124419105,1.4411536626710149,9,False,NEW_ENTRY,0.08708440946739464,RISK_ON,0.95
2013-01-31,2013-01-31,SZ000625,长安汽车,55.79361936547715,55.13722384353037,270472768,-0.011764705882352677,0.6093996149133651,0.19581749049429664,35.383959449875526,0.558254777044866,0.49554238026179065,286747029.6,260,-0.49554238026179065,19.474110958558324,1.7783206466168897,0.9127254818876593,1.984635219435044,-1.719946373166923,0.2712894589876746,1.374675932131653,10,False,NEW_ENTRY,0.04916536746506967,RISK_ON,0.95
2013-01-31,2013-01-31,SZ000024,招商地产,159.7049369505825,150.78847367187473,746498432,-0.059559065482066464,0.5866889758148615,0.2803532008830023,124.80746628164422,0.20816869506509317,0.4311400736311996,550818596.8,262,-0.4311400736311996,20.12691608931774,1.692077488513946,1.5840401354089642,0.7093258489198345,-1.0863248022645726,1.2221843902432878,1.3733334221044087,11,False,NEW_ENTRY,0.05650953068428282,RISK_ON,0.95
2013-01-31,2013-01-31,SH600315,上海家化,192.31335466324128,194.86856706785773,68945712,0.00034518467380051376,0.5838818051702492,0.18427175430432774,149.83088702190162,0.3005900915434927,0.2748244324590361,105870016.2,259,-0.2748244324590361,18.477722646782947,1.681417319036761,0.8210385267017607,1.6365736285662973,0.7960726426334571,-1.1800787220916515,1.372309893945526,12,False,NEW_ENTRY,0.08865122726567524,RISK_ON,0.95
2013-01-31,2013-01-31,SH601117,中国化学,7.660289158778591,7.781881050187775,258158960,0.018567639257294433,0.5175243408699008,0.37142857142857144,6.724960191887111,0.15716388322650854,0.3617163848219721,365493524.8,261,-0.3617163848219721,19.71675912372773,1.4294262913891753,1.9951417453130746,0.1976034520431907,-0.25030498076792734,0.6247378304329928,1.3303809380565923,13,False,NEW_ENTRY,0.06735532102610545,RISK_ON,0.95
2013-01-31,2013-01-31,SZ002038,双鹭药业,363.1573166229197,357.3240648320244,89813296,-0.010356255178127438,0.5455727057415622,0.19477726574500775,255.81595594661655,0.3968013195650333,0.3531252717301229,145189376.4,261,-0.3531252717301229,18.79354949927656,1.5359393470396048,0.9044648531670606,1.984635219435044,-0.1468483515294275,-0.7200361473017964,1.3296619948087058,14,False,NEW_ENTRY,0.06899399496591715,RISK_ON,0.95
2013-01-31,2013-01-31,SH600886,国投电力,136.36423971660645,143.7220224351284,240119376,0.057761732851985714,0.39520000000000066,0.3519813519813517,113.75383529996616,0.26344770755321645,0.25768443329092044,116608139.4,261,-0.25768443329092044,18.574329644195018,0.9649022670442926,1.9951417453130746,1.2639305567446197,1.002477391369253,-1.0393581611853717,1.3207071101962242,15,False,NEW_ENTRY,0.09,RISK_ON,0.95
2013-02-28,2013-02-28,SH601633,长城汽车,29.02353208036261,30.71580686973395,99937936,0.05905096660808429,1.1813634456976492,0.8235668789808919,19.45058538561224,0.5791713339617373,0.40706454702211836,127255404.4,276,-0.40706454702211836,18.66170669107818,2.2554223550634123,2.118632634059217,2.329517796955815,-0.41522516459098163,-0.7471920208692212,2.0919673790632944,1,True,HOLD_BUFFER,0.06583669440929339,RISK_ON,0.95
2013-02-28,2013-02-28,SZ000625,长安汽车,55.3341425001144,57.04077085717605,223412624,0.03699284009546533,0.7511832319134659,0.4538310412573676,37.30248601686111,0.5291412704073672,0.5567947674028971,351839209.6,275,-0.5567947674028971,19.67868484113474,2.2554223550634123,2.0941246140156893,2.329517796955815,-1.859375910699108,0.5790966750373964,2.01240743574483,2,True,HOLD_BUFFER,0.04813224864191352,RISK_ON,0.95
2013-02-28,2013-02-28,SH600340,华夏幸福,127.94284642273338,132.31564173673914,124117000,0.037515127067365706,0.9214255474953561,0.4750000000000001,105.21060955515588,0.25762641520837914,0.41613928366979946,125000546.0,270,-0.41613928366979946,18.643828671257,2.2554223550634123,2.118632634059217,0.9681986805332802,-0.5218124796387057,-0.7705075813782699,1.8824401458475282,3,True,HOLD_BUFFER,0.06440099562534425,RISK_ON,0.95
2013-02-28,2013-02-28,SZ002146,荣盛发展,60.65210273193599,61.86082791093543,288857696,0.022111269614836004,0.8209192507799843,0.5464994775339604,47.91248274949606,0.2911213187253603,0.5283997545986239,282429016.4,276,-0.5283997545986239,19.45893781113751,2.2554223550634123,2.118632634059217,1.2573917024646075,-1.8403677883874254,0.2925143115636393,1.859891333699791,4,True,HOLD_BUFFER,0.05071876728540487,RISK_ON,0.95
2013-02-28,2013-02-28,SH600109,国金证券,73.13812606257125,74.72174360694599,364947968,0.031052328924669137,0.7507141735991383,0.6595940959409594,60.604696885521314,0.23293651229855894,0.5495421266552615,378787031.2,270,-0.5495421266552615,19.75248468479369,2.2554223550634123,2.118632634059217,0.7550275146554,-1.859375910699108,0.6753424974270883,1.783586299412826,5,True,HOLD_BUFFER,0.04876747911987587,RISK_ON,0.95
