signal_date,execution_date,regime,buy_turnover,sell_turnover,one_way_turnover,cost_rate,holding_count,target_exposure
2013-01-31,2013-02-01,RISK_ON,0.9500000000000002,0.0,0.4750000000000001,0.0007315000000000002,20,0.9500000000000002
2013-02-28,2013-03-01,RISK_ON,0.07178859295683877,0.07423751946303427,0.07301305620993652,0.0001866776260263365,20,0.95
2013-03-29,2013-04-01,RISK_ON,0.272899441686081,0.27299705468116925,0.2729482481836251,0.000693337356883952,20,0.95
2013-04-26,2013-05-02,RISK_ON,0.21082666612046197,0.21065698087904197,0.21074182349975198,0.00053519938906866,20,0.9499999999999998
2013-05-31,2013-06-03,RISK_ON,0.24849556657306324,0.21317544536581617,0.23083550596943972,0.0005686621245587533,21,0.9902495070660872
2013-06-28,2013-07-01,RISK_OFF,0.05095316272476412,0.6968115555287488,0.37388235912675655,0.0012725903885839542,21,0.3440766204175876
2013-07-31,2013-08-01,RISK_OFF,0.04132073560991016,0.05286863886920536,0.04709468723955776,0.0001253944572181243,21,0.34337318191968136
2013-08-30,2013-09-02,RISK_OFF,0.05809079295087136,0.10671628789034207,0.08240354042060673,0.00023361774013807643,20,0.29999999999999993
2013-09-30,2013-10-08,RISK_OFF,0.03832647512469253,0.05252107945205295,0.04542377728837274,0.00012247369647614697,20,0.3
2013-10-31,2013-11-01,RISK_OFF,0.05028582724782651,0.03524366677542043,0.04276474701162347,0.00010110137717332058,20,0.30000000000000004
2013-11-29,2013-12-02,RISK_OFF,0.08234043600581933,0.08415446036748318,0.08324744818665125,0.00021235553057492613,20,0.3
2013-12-31,2014-01-02,RISK_OFF,0.1390904185232665,0.11456123339683309,0.1268258259600498,0.0003098730053753098,21,0.3162182642890272
2014-01-30,2014-02-07,RISK_OFF,0.10096689746803802,0.11335905132109977,0.1071629743945689,0.0002783900318887359,20,0.29999999999999993
2014-02-28,2014-03-03,RISK_OFF,0.06926159096614594,0.07039826342749012,0.06982992719681802,0.0001779363513105899,20,0.3
2014-03-31,2014-04-01,RISK_OFF,0.1493741461225939,0.11276529876125742,0.13106972244192566,0.000314612671321823,21,0.318986328475518
2014-04-30,2014-05-05,RISK_OFF,0.07777812704665862,0.07383203569181414,0.07580508136923639,0.00019057186100043818,21,0.3206683628984826
2014-05-30,2014-06-03,RISK_OFF,0.03882681554016276,0.04854380713828296,0.04368531133922286,0.00011581918660068618,21,0.3128605956980554
2014-06-30,2014-07-01,RISK_OFF,0.06907737758081844,0.0737537367065703,0.07141555714369438,0.00018373369470785965,21,0.312761982651719
2014-07-31,2014-08-01,RISK_ON,0.717463427995513,0.05905617059563179,0.3882597992955724,0.0006569762615108134,22,0.9740942093772055
2014-08-29,2014-09-01,RISK_ON,0.41265977420428035,0.34384639806426054,0.3782530861342704,0.0009263561507110372,23,1.0448435324084138
2014-09-30,2014-10-08,RISK_ON,0.2702746446014524,0.25666308002774924,0.2634688623146008,0.0006624051279922345,23,1.0136115645737032
2014-10-31,2014-11-03,RISK_ON,0.37939285816078744,0.3235595284564441,0.3514761933086158,0.0008648328661517123,24,1.0558333297043434
2014-11-28,2014-12-01,RISK_ON,0.30758054706037224,0.2914936987555869,0.29953712290797957,0.0007527808680338754,22,1.0160868483047856
2014-12-31,2015-01-05,RISK_ON,0.5692289542199209,0.4893213245686533,0.5292751393942872,0.0013044050392358555,23,1.0799076296512677
2015-01-30,2015-02-02,RISK_ON,0.37344892373375255,0.28801600653851056,0.3307324651361315,0.0007973440028481531,23,1.0854329171952422
2015-02-27,2015-03-02,RISK_ON,0.11560720826386857,0.08980457597340086,0.10270589211863472,0.00024797164983609833,22,1.0258026322904676
2015-03-31,2015-04-01,RISK_ON,0.17817481606257568,0.12929180119485828,0.15373330862871695,0.00036604109648308243,23,1.0488830148677175
2015-04-30,2015-05-04,RISK_ON,0.15328131350500937,0.16415317520519349,0.15871724435510143,0.0004085777315120497,22,0.9891281382998156
2015-05-29,2015-06-01,RISK_ON,0.2808728304010171,0.2838310854169739,0.28235195790899553,0.000718653100596827,21,0.9860998896541135
2015-06-30,2015-07-01,RISK_ON,0.44845457833836017,0.44278648601383025,0.4456205321760952,0.001129042105565017,21,0.9907648129769974
2015-07-31,2015-08-03,RISK_ON,0.2749590235919454,0.26741202421669324,0.2711855239043193,0.000685037731029345,21,0.9979909495222445
2015-08-31,2015-09-01,RISK_OFF,0.24861129194053927,0.691481739650911,0.47004651579572515,0.0014153533739763278,24,0.5555100349931216
2015-09-30,2015-10-08,RISK_OFF,0.22053136676174803,0.20176597208725353,0.21114866942450078,0.0005269349230009848,25,0.5686030478256086
2015-10-30,2015-11-02,RISK_OFF,0.03995830153368568,0.043084294995984276,0.04152129826483498,0.00010702709432383014,25,0.5691004137722346
2015-11-30,2015-12-01,RISK_OFF,0.04960465803803225,0.053813105090359345,0.05170888156419579,0.00013344478269922087,25,0.5673191950871994
2015-12-31,2016-01-04,RISK_OFF,0.0544400817297903,0.15059473321545994,0.10251740747262512,0.0003084715407233026,25,0.465107400685002
2016-03-31,2016-04-01,RISK_OFF,0.15794898228455267,0.20297939406214838,0.18046418817335053,0.00048089424384910816,23,0.3918110615615213
2016-04-29,2016-05-03,RISK_OFF,0.10677536939174032,0.11781774933789495,0.11229655936481765,0.0002907544507597141,22,0.37936002897281557
2016-05-31,2016-06-01,RISK_OFF,0.06839998064758951,0.07199928062339916,0.07019963063549434,0.00018010671180206044,22,0.37889793706098895
