signal_date,execution_date,regime,buy_turnover,sell_turnover,one_way_turnover,cost_rate,holding_count,target_exposure
2013-01-31,2013-02-01,RISK_ON,0.9800000000000001,0.0,0.49000000000000005,0.0007546000000000002,10,0.9800000000000001
2013-02-28,2013-03-01,RISK_ON,0.13883636526871979,0.14040405066517286,0.13962020796694632,0.0003554191709342702,10,0.9800000000000001
2013-03-29,2013-04-01,RISK_ON,0.1805416489799014,0.1804738955277686,0.180507772253835,0.00045845586479867454,10,0.9799999999999999
2013-04-26,2013-05-02,RISK_ON,0.39401172286383584,0.3949487440200215,0.3944802334419287,0.0010024483035205917,10,0.9799999999999999
2013-05-31,2013-06-03,RISK_ON,0.06561914370720934,0.06845579293834109,0.06703746832277521,0.00017169349415541494,10,0.9799999999999998
2013-06-28,2013-07-01,RISK_OFF,0.0,0.97875352177815,0.489376760889075,0.0017323937335473258,0,0.0
2013-07-31,2013-08-01,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2013-08-30,2013-09-02,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2013-09-30,2013-10-08,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2013-10-31,2013-11-01,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2013-11-29,2013-12-02,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2013-12-31,2014-01-02,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-01-30,2014-02-07,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-02-28,2014-03-03,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-03-31,2014-04-01,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-04-30,2014-05-05,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-05-30,2014-06-03,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-06-30,2014-07-01,RISK_OFF,0.0,0.0,0.0,0.0,0,0.0
2014-07-31,2014-08-01,RISK_ON,0.98,0.0,0.49,0.0007546000000000001,10,0.98
2014-08-29,2014-09-01,RISK_ON,0.31117365874602626,0.3132624586112569,0.31221805867864155,0.000794078268976365,10,0.9799999999999999
2014-09-30,2014-10-08,RISK_ON,0.3209352196014359,0.21442858964707295,0.26768190462425445,0.0006266587227684249,11,1.0881490516003254
2014-10-31,2014-11-03,RISK_ON,0.39598832155176705,0.3126504836276344,0.35431940258970074,0.0008583023636157735,11,1.0833378379241327
2014-11-28,2014-12-01,RISK_ON,0.4565175249142653,0.40856538334716613,0.43254145413071576,0.0010746792227084682,11,1.0479521415670991
2014-12-31,2015-01-05,RISK_ON,0.5934908611900698,0.6134908611900699,0.6034908611900699,0.0015428667874227775,10,0.98
2015-01-30,2015-02-02,RISK_ON,0.35671046910212745,0.35957798185217443,0.35814422547715097,0.0009111200890869869,10,0.9758860895724215
2015-02-27,2015-03-02,RISK_ON,0.3302907084873946,0.33025586713889377,0.33027328781314425,0.0008388767303711359,10,0.9800000000000001
2015-03-31,2015-04-01,RISK_ON,0.26642154408979374,0.07740342849386975,0.17191248629183173,0.0003421486573832906,12,1.1730280355560336
2015-04-30,2015-05-04,RISK_ON,0.19092699434843516,0.24321475686708705,0.2170708756077611,0.0005775039053030392,10,0.947712237481348
2015-05-29,2015-06-01,RISK_ON,0.4655984696607402,0.357348370660553,0.4114734201606466,0.0009910174377079487,11,1.0524967614214706
2015-06-30,2015-07-01,RISK_ON,0.5301502690527062,0.46904370357764413,0.4995969863151752,0.001238423062503014,11,1.061106565475062
2015-07-31,2015-08-03,RISK_ON,0.36457203140689004,0.29593871868854343,0.33025537504771674,0.0008045319962620272,11,1.0686333127183467
2015-08-31,2015-09-01,RISK_OFF,0.0,0.8910993718113005,0.44554968590565025,0.0015772458881060018,1,0.10890062818869964
2015-09-30,2015-10-08,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10895788919334035
2015-10-30,2015-11-02,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10886041515891934
2015-11-30,2015-12-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10874011174893164
2015-12-31,2016-01-04,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10860848481992902
2016-03-31,2016-04-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10827147279654108
2016-04-29,2016-05-03,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10815744011006917
2016-05-31,2016-06-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10803781938503218
2016-06-30,2016-07-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.1079240030015606
2016-07-29,2016-08-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.10780460924671147
2016-08-31,2016-09-01,RISK_ON,0.9800000000000001,0.0,0.49000000000000005,0.0007546,11,1.0876739779115112
2016-09-30,2016-10-10,RISK_ON,0.19350348733795023,0.1109031170948166,0.1522033022163834,0.0003452962025080471,11,1.0826003702431335
2016-10-31,2016-11-01,RISK_ON,0.16802329590269624,0.09551487037806038,0.1317690831403783,0.000298439258414243,11,1.0725084255246358
2016-11-30,2016-12-01,RISK_ON,0.3021338316621292,0.23735792388430338,0.2697458777732163,0.0006527665756550565,11,1.0647759077778258
2016-12-30,2017-01-03,RISK_ON,0.32297719533438274,0.25684520086716267,0.28991119810077276,0.0007033084459423526,11,1.06613199446722
2017-01-26,2017-02-03,RISK_ON,0.513973937657161,0.37660672561917385,0.4452903316381674,0.001062353836341952,12,1.1373672120379872
2017-02-28,2017-03-01,RISK_ON,0.3058366850519945,0.19190365891167882,0.24887017198183664,0.0005751637237637073,12,1.1139330261403158
2017-03-31,2017-04-05,RISK_ON,0.22172860397920094,0.20005175777738352,0.2108901808782922,0.0005248226363299536,11,1.0216768462018173
2017-04-28,2017-05-02,RISK_ON,0.2550553472418422,0.16426836465959932,0.20966185595072076,0.0004871476228237093,12,1.090786982582243
2017-05-31,2017-06-01,RISK_ON,0.39965471738623515,0.3183595025175126,0.3590071099518739,0.0008712304518433985,12,1.0812952148687225
2017-06-30,2017-07-03,RISK_ON,0.3545044957610658,0.2902449503591832,0.32237472306012455,0.000786702023871775,12,1.0642595454018826
2017-07-31,2017-08-01,RISK_ON,0.2786607768492746,0.21745557008568,0.2480581734674773,0.000599465157225595,12,1.0612052067635944
2017-08-31,2017-09-01,RISK_ON,0.4090269310252297,0.39145604317093796,0.4002414870980838,0.0010078279333019871,11,1.0175708878542917
2017-09-29,2017-10-09,RISK_ON,0.06061535188623543,0.04522029791221092,0.05291782489922318,0.0001267137482570146,11,1.0153950539740242
2017-10-31,2017-11-01,RISK_ON,0.3333846864714519,0.3203635990594534,0.3268741427654527,0.0008237497789182506,11,1.0130210874119985
2017-11-30,2017-12-01,RISK_ON,0.16790408928501277,0.15544165463092152,0.16167287195796712,0.00040441787744619097,11,1.0124624346540914
2017-12-29,2018-01-02,RISK_ON,0.430178161715387,0.3161019294551109,0.37314004558524894,0.0008907375996563943,12,1.1140762322602762
2018-01-31,2018-02-01,RISK_ON,0.2042973015842443,0.10857478038948008,0.1564360409868622,0.0003494862835092479,12,1.095722521194764
2018-02-28,2018-03-01,RISK_ON,0.18431753137679724,0.0934097876447094,0.1388636595107533,0.0003072598232912695,12,1.090907743732088
2018-03-30,2018-04-02,RISK_OFF,0.0,0.8954389813382219,0.44771949066911093,0.0015849269969686526,2,0.10456101866177811
2018-04-27,2018-05-02,RISK_OFF,0.0,0.0,0.0,0.0,2,0.10462733484704859
2018-05-31,2018-06-01,RISK_OFF,0.0,0.0,0.0,0.0,2,0.10450563159838082
2018-06-29,2018-07-02,RISK_OFF,0.0,0.0967830254209999,0.04839151271049995,0.0001713059549951698,1,0.024100414293734152
2018-07-31,2018-08-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.024073986598958458
2018-08-31,2018-09-03,RISK_OFF,0.0,0.0,0.0,0.0,1,0.02404208109677308
2018-09-28,2018-10-08,RISK_OFF,0.0,0.0,0.0,0.0,1,0.02401575548849906
2018-10-31,2018-11-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.023990841375629818
2018-11-30,2018-12-03,RISK_OFF,0.0,0.0,0.0,0.0,1,0.023960425028513255
2018-12-28,2019-01-02,RISK_OFF,0.0,0.0,0.0,0.0,1,0.023932806448145827
2019-01-31,2019-02-01,RISK_OFF,0.0,0.0,0.0,0.0,1,0.023902461877607323
2019-02-28,2019-03-01,RISK_ON,0.98,0.0,0.49,0.0007546,11,1.003881793919874
2019-03-29,2019-04-01,RISK_ON,0.5546879784506769,0.5526171146501172,0.553652546550397,0.0014052420363377287,11,1.00207086380056
2019-04-30,2019-05-06,RISK_ON,0.4593638406072846,0.45575591349241185,0.45755987704984824,0.0011603981241491781,11,1.0036079271148726
2019-05-31,2019-06-03,RISK_ON,0.24168407441897,0.23909012622054612,0.24038710031975807,0.0006092862607129737,11,1.0025939481984238
2019-06-28,2019-07-01,RISK_ON,0.17063571801680813,0.1699448095838368,0.17029026380032247,0.0004321918158363334,11,1.0006909084329711
2019-07-31,2019-08-01,RISK_ON,0.23304820550071945,0.2328548471264937,0.23295152631360658,0.0005916001976494479,11,1.000193358374226
2019-08-30,2019-09-02,RISK_ON,0.25442572212810804,0.2551312965786394,0.25477850935337376,0.000647490200982835,11,0.9992944255494688
2019-09-30,2019-10-08,RISK_ON,0.28243545440071177,0.2827190684635555,0.28257726143213363,0.0007178880510690413,11,0.9996571398007643
2019-10-31,2019-11-01,RISK_ON,0.15615279910865648,0.15732284739237581,0.15673782325051613,0.0003986990951981707,11,0.998829951716281
2019-11-29,2019-12-02,RISK_ON,0.33075677562288935,0.3309377037403825,0.33084723968163593,0.0008404424528501019,11,0.999038222872461
2019-12-31,2020-01-02,RISK_ON,0.13611192553190715,0.13737468494997374,0.13674330524094044,0.0003479593750210221,11,0.9986184270226844
2020-01-23,2020-02-03,RISK_ON,0.3067973450402542,0.30731849279175993,0.3070579189160071,0.0007801876879224109,11,0.9984534296931079
2020-02-28,2020-03-02,RISK_ON,0.22602106945775158,0.22858625713562097,0.22730366329668628,0.0005786338986125179,11,0.9967388167371585
2020-03-31,2020-04-01,RISK_OFF,0.0,0.9769048864256092,0.4884524432128046,0.0017291216489733285,1,0.01990155760569187
2020-04-30,2020-05-06,RISK_ON,0.98,0.0,0.49,0.0007546,11,0.9999118019919637
2020-05-29,2020-06-01,RISK_OFF,0.0,0.9806246472189158,0.4903123236094579,0.001735705625577481,1,0.019375352781084303
2020-06-30,2020-07-01,RISK_ON,0.9799999999999998,0.0,0.4899999999999999,0.0007545999999999998,11,0.9993865646447212
2020-07-31,2020-08-03,RISK_ON,0.25583202739623856,0.25995893905321754,0.25789548322472805,0.0006571179832192988,11,0.9958730883430211
2020-08-31,2020-09-01,RISK_ON,0.2123612093880491,0.21125269426771237,0.21180695182788073,0.0005374354000826487,11,0.997318139228081
2020-09-30,2020-10-09,RISK_ON,0.13623225320537707,0.13650718644235266,0.13636971982386487,0.00034651655497110455,11,0.9975492034273813
2020-10-30,2020-11-02,RISK_ON,0.1079410257292244,0.10901268723697952,0.10847685648310194,0.00027606704622095654,11,0.9968999877512066
2020-11-30,2020-12-01,RISK_ON,0.27687439025551963,0.2769178302064708,0.2768961102309952,0.0007033378399622035,11,0.9970962699719843
2020-12-31,2021-01-04,RISK_ON,0.5002798493780187,0.5039435957265387,0.5021117225522788,0.0012771956484570479,11,0.9944711920188493
2021-01-29,2021-02-01,RISK_ON,0.3115588099816657,0.31419389454908764,0.31287635226537663,0.0007960234770377677,11,0.9934180526948322
2021-02-26,2021-03-01,RISK_ON,0.15222072827605299,0.15150004066374934,0.15186038446990116,0.0003853650327473971,11,0.9944739308495488
