slippage_bps,period,start,end,trading_days,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar
5.0,oos_2022_2025,2022-01-04,2025-12-31,969,0.2242148776316677,0.052020642193847166,0.17217711847996847,0.3923732357498195,-0.2791433590458854,0.1863581579431236
5.0,full_2013_2025,2013-01-04,2025-12-31,3157,3.931181333049925,0.13070829649408977,0.2229682997853963,0.6837556948182887,-0.5057661943654876,0.25843620619616686
10.0,oos_2022_2025,2022-01-04,2025-12-31,969,0.21374544313244792,0.04975804194117739,0.17218521621722843,0.3793792386058853,-0.2827760701429708,0.17596270404359132
10.0,full_2013_2025,2013-01-04,2025-12-31,3157,3.7938801808596017,0.1282527064070107,0.22299753613768988,0.6735832435513152,-0.5061356731403721,0.2533959039307648
20.0,oos_2022_2025,2022-01-04,2025-12-31,969,0.1930578281806985,0.04524378768167181,0.1722169700455828,0.35335779529710054,-0.2899928721703493,0.15601689566733365
20.0,full_2013_2025,2013-01-04,2025-12-31,3157,3.5304421982092116,0.12335373247335024,0.22306704925817392,0.6532096959756976,-0.5068742057248423,0.24336162913824236
